fecha,precio_btc,mercado_cap_btc,total_volumen_btc,precio_ethereum,mercado_cap_ethereum,total_volumen_ethereum,precio_tether,mercado_cap_tether, total_volumen_tether,precio_binance,mercado_caps_binance,total_volumen_binance
2022-04-20,41397.220477279625,787437397453.9304,24937668255.073463,3079.6764776018495,370910549448.9755,15155965878.384497,0.9999946212135405,83021908771.50435,58792094904.72536,418.2972967410871,70312408958.09077,2041447597.7314599
2022-04-21,40528.54148675958,770787243369.5001,32131220615.550182,2987.4888760341605,359917773311.257,20529419340.296413,1.0006163242434516,83120398074.31392,68187502635.603615,405.007526363807,68052602510.57242,1987149683.7801418
2022-04-22,39756.848993471016,756144456297.8489,46022063018.95215,2967.085285238213,357702343019.6129,16155619718.968117,1.0001412686631954,83182809347.61438,55616984621.238464,407.29828768348585,68545771657.55915,1856696292.2618985
2022-04-23,39561.78019075613,752414150959.3553,15010797471.968071,2940.6879777714407,354358143094.8383,8633203957.82989,1.0010142684354009,83198500616.62434,35138284203.69233,401.8406948222838,67564303331.415276,857943401.5593833
2022-04-24,39469.04986198146,752446283899.8965,16778683767.597218,2922.901865199808,352895958715.2752,9196851418.265764,1.0002185929503484,83221428015.88246,35477151594.79549,399.06907472547033,67305356883.21876,1105869387.6978633
2022-04-25,40488.877917622376,770112436973.4149,32883645913.964718,3008.3363470853,362590296737.94165,22037549638.799118,1.0001622568202189,83139688331.49197,66371722904.84553,404.60678401197765,68052709104.909424,1913307233.8091278
2022-04-26,38134.21545068938,725434540422.046,31053018153.386673,2806.748835957046,338098235743.8579,17750798288.906208,1.0005013171014638,83214573094.12813,62432563644.81657,385.02761250551754,64737401506.33148,1075313404.2201037
2022-04-27,39237.94931747103,746473028158.29,28170490245.865635,2889.5922230230817,348355348857.35516,17036298768.907473,0.9998493401497465,83154011772.12584,56020755570.758125,391.2855429453306,65776057225.10052,1395387038.3115418
2022-04-28,39741.766645809636,756090806420.8264,31484572271.03238,2932.455083612903,353388170472.60077,18249410920.251778,0.9996537859861441,83139556788.14339,60407700489.92876,406.3266878708985,68164491595.67788,2003276231.7060096
2022-04-29,38650.55013809267,735829877665.6912,27758348826.409065,2817.4898821916195,340291788026.5969,17902735173.807156,1.0012216168901436,83229249234.98518,58256039342.06173,392.9643749272761,66152617932.25558,1914673120.4916348
2022-04-30,37820.61176529208,719611115951.2947,20955789685.355682,2738.1741359527714,330211251741.10095,12618462103.401344,1.0032689168029283,83424696945.27954,46803422697.199295,378.73468452228144,63862082109.34614,1369438095.1543453
